,日期,断面,lon,lat,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,TP,TN
118,NA,清江大桥,111.4304,30.3997,0.97359997,1.003399968,1.084499955,1.093600035,1.302999973,1.310199976,1.230499983,0.055223,3.009669
119,NA,晒网坝,108.4766,30.839,0.895600021,0.932600021,1,0.93629998,0.986500025,0.865700006,0.824000001,0.042788,1.525736
120,NA,江津大桥,106.2569,29.2639,1.108199954,1.057800055,1.283900023,1.210800052,1.618600011,1.406000018,1.258399963,0.066809,1.711723
121,NA,云池(白洋),111.4927,30.4087,0.905499995,0.913299978,0.987299979,0.929899991,1.732200027,1.332000017,1.075299978,0.039484,2.83136
122,NA,寸滩,106.5996,29.6149,0.968500018,1.013399959,1.173099995,1.103600025,1.587900043,1.40929997,1.203799963,0.065624,1.442481
123,NA,清江大桥,111.4304,30.3997,1.025500059,1.052399993,1.122699976,1.126799941,1.539800048,1.400500059,1.298799992,0.028698,2.870908
124,NA,晒网坝,108.4766,30.839,0.90990001,0.92900002,0.960799992,0.865499973,0.850300014,0.792200029,0.768999994,0.043493,1.635025
125,NA,丰收坝,106.4615,29.3897,0.941699982,0.976000011,1.059999943,1.0079,1.015100002,0.907899976,0.863799989,0.073315,1.804449
126,NA,白帝城,109.5593,31.0377,0.886900008,0.919149995,1.017199993,0.960500002,1.173799992,1.041100025,0.952899992,0.058338,2.048731
127,NA,和尚山,106.5334,29.5071,0.967000008,0.995500028,1.057350039,0.99970001,0.945249975,0.854049981,0.822549999,0.060886,1.998212
128,NA,江津大桥,106.2569,29.2639,0.956499994,0.962199986,1.015300035,0.983200014,1.558899999,1.339699984,1.141899943,0.086349,2.024174
129,NA,云池(白洋),111.4927,30.4087,0.844500005,0.873300016,0.986000001,0.924399972,1.817600012,1.227300048,1.019400001,0.045582,2.45548
130,NA,南津关,111.2706,30.7639,0.905700028,0.897300005,0.966099977,0.938399971,1.61500001,1.241799951,1.033800006,0.038,1.6657
